;AF;AFE;DM;Hmax;Dec;SD
Araucaria.angustifolia;1,8792;78,76768312;0,535018636;17;P;Zoo
Cinnamomum.amoenum;6,594295;83,4757869;0,402092694;15;P;Zoo
Drimys.angustifolia;8,04945;113,9116099;0,422102227;8;P;Zoo
Ilex.microdonta;8,86548;86,0045692;0,672626008;17;P;Zoo
Ilex.paraguariensis;19,591355;106,4759128;0,460371382;15;P;Zoo
Maytenus.boaria;5,06837;98,17190451;0,603745287;15;P;Zoo
Myrceugenia.euosma;1,47597;104,3899851;0,496950693;7;P;Zoo
Myrceugenia.glaucescens;3,972145;106,0808663;0,556887903;11;P;Zoo
Myrceugenia.miersiania;6,972245;127,6827638;0,603799828;8;SD;Zoo
Myrceugenia.myrcioides;15,858615;111,7590909;0,546169692;12;SD;Zoo
Myrceugenia.ovata;1,58802;118,2574375;0,56955649;11;P;Zoo
Myrceugenia.oxysepala;5,48995;132,6924239;0,564545692;11;P;Zoo
Myrrhinium.atropurpureum;8,460915;81,77167295;0,669948695;12;SD;Zoo
Myrsine.coriacea;8,68224;94,56850636;0,54780176;20;P;Zoo
Ocotea.pulchella;5,224655;107,8894602;0,521758878;18;P;Zoo
Prunus.myrtifolia;16,12824;84,8231956;0,648301744;15;P;Zoo
Schinus.polygamus;3,67434;99,62690816;0,624354888;14;SD;Zoo
Symplocos.tetrandra;9,57253;116,4619287;0,493521527;15;P;Zoo
Weinmannia.paulliniifolia;10,024105;108,1331478;0,500027342;16;P;Ane
